Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
38,4.073000,262144.000000,83380.325713,47655.000000
38,4.639000,32768.000000,163634.398447,121177.000000
38,5.649000,4096.000000,48470.688916,18090.000000
38,7.918000,512.000000,36604.925843,6016.000000
38,16.772000,64.000000,22718.777674,1533.000000
38,30.000000,6.000000,24478.951101,1096.000000
38,30.000000,9.000000,24756.838389,1774.000000
38,30.000000,12.000000,24066.355312,2101.000000
38,30.000000,15.000000,22983.487725,2038.000000
38,30.000000,18.000000,23690.298922,1610.000000
