Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
34,4.073000,262144.000000,58788.889954,26009.000000
34,4.639000,32768.000000,238097.217560,128202.000000
34,5.649000,4096.000000,113481.596213,42456.000000
34,7.918000,512.000000,66525.469566,12323.000000
34,16.772000,64.000000,46694.964986,3393.000000
34,30.000000,6.000000,60874.800624,3792.000000
34,30.000000,9.000000,42686.815915,3075.000000
34,30.000000,12.000000,48463.734844,2819.000000
34,30.000000,15.000000,43795.029707,2817.000000
34,30.000000,18.000000,58257.524149,3834.000000
