Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
30,4.073000,262144.000000,65483.540978,30147.000000
30,4.639000,32768.000000,422078.966289,243283.000000
30,5.649000,4096.000000,437563.069535,137304.000000
30,7.918000,512.000000,359293.811482,41946.000000
30,16.772000,64.000000,1524645.949305,49198.000000
30,30.000000,6.000000,952384.997037,30043.000000
30,30.000000,9.000000,874527.717086,22836.000000
30,30.000000,12.000000,1460056.583511,48541.000000
30,30.000000,15.000000,1703795.544777,61182.000000
30,30.000000,18.000000,1356396.775907,48239.000000
