Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
40,4.073000,262144.000000,95294.865559,77311.000000
40,4.639000,32768.000000,130878.738132,68857.000000
40,5.649000,4096.000000,62806.490310,21143.000000
40,7.918000,512.000000,41482.979377,10524.000000
40,16.772000,64.000000,21259.222893,1700.000000
40,30.000000,6.000000,18230.418701,945.000000
40,30.000000,9.000000,23148.644021,1917.000000
40,30.000000,12.000000,19254.614122,1094.000000
40,30.000000,15.000000,19130.604068,1595.000000
40,30.000000,18.000000,22116.145302,2050.000000
