Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
24,4.073000,262144.000000,462532.302485,173116.000000
24,4.639000,32768.000000,865102.913296,309093.000000
24,5.649000,4096.000000,1453097.170311,266414.000000
24,7.918000,512.000000,4291437.466143,287387.000000
24,16.772000,64.000000,7734625.338946,214435.000000
24,30.000000,6.000000,8901667.766967,206910.000000
24,30.000000,9.000000,8432969.730744,195127.000000
24,30.000000,12.000000,7889524.532533,208255.000000
24,30.000000,15.000000,8011632.081163,230839.000000
24,30.000000,18.000000,7354950.254773,221406.000000
