Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
38,4.073000,262144.000000,52323.403741,42924.000000
38,4.639000,32768.000000,90660.341357,63285.000000
38,5.649000,4096.000000,95086.641670,37261.000000
38,7.918000,512.000000,36364.360767,6088.000000
38,16.772000,64.000000,25469.994641,2620.000000
38,30.000000,6.000000,26257.722997,1736.000000
38,30.000000,9.000000,21846.290463,1211.000000
38,30.000000,12.000000,24061.293668,2038.000000
38,30.000000,15.000000,21935.715876,1495.000000
38,30.000000,18.000000,26545.985497,2335.000000
