Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
26,4.073000,262144.000000,222789.929894,128168.000000
26,4.639000,32768.000000,802158.322059,282568.000000
26,5.649000,4096.000000,1246318.179127,275536.000000
26,7.918000,512.000000,2871838.962494,258879.000000
26,16.772000,64.000000,5880803.171592,175108.000000
26,30.000000,6.000000,6136500.178170,153780.000000
26,30.000000,9.000000,6234436.065209,153536.000000
26,30.000000,12.000000,5781445.338692,175702.000000
26,30.000000,15.000000,5591539.712704,178623.000000
26,30.000000,18.000000,5339099.716867,177337.000000
