Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
36,4.073000,262144.000000,112393.313262,58690.000000
36,4.639000,32768.000000,246550.181511,141271.000000
36,5.649000,4096.000000,51868.984374,15355.000000
36,7.918000,512.000000,45006.321934,6826.000000
36,16.772000,64.000000,29044.972732,2028.000000
36,30.000000,6.000000,29613.503744,1510.000000
36,30.000000,9.000000,29672.885148,2056.000000
36,30.000000,12.000000,30366.037641,1760.000000
36,30.000000,15.000000,31534.264269,1790.000000
36,30.000000,18.000000,38909.520814,3070.000000
