Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
40,4.073000,262144.000000,26153.878221,11802.000000
40,4.639000,32768.000000,49151.297775,25716.000000
40,5.649000,4096.000000,44758.214766,14876.000000
40,7.918000,512.000000,35926.008003,7602.000000
40,16.772000,64.000000,24845.322196,2461.000000
40,30.000000,6.000000,17122.591188,981.000000
40,30.000000,9.000000,19102.494968,1755.000000
40,30.000000,12.000000,19857.621761,1070.000000
40,30.000000,15.000000,19321.760634,1579.000000
40,30.000000,18.000000,21747.640907,1958.000000
