Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
34,4.073000,262144.000000,45422.294427,20356.000000
34,4.639000,32768.000000,180326.881271,124140.000000
34,5.649000,4096.000000,78254.301831,23875.000000
34,7.918000,512.000000,85822.280534,15886.000000
34,16.772000,64.000000,42319.885444,2780.000000
34,30.000000,6.000000,45485.515530,2200.000000
34,30.000000,9.000000,52602.072659,3361.000000
34,30.000000,12.000000,47000.695516,3122.000000
34,30.000000,15.000000,49991.327708,4111.000000
34,30.000000,18.000000,45010.813156,4028.000000
