Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
36,4.073000,262144.000000,64869.328122,36652.000000
36,4.639000,32768.000000,198508.801838,108216.000000
36,5.649000,4096.000000,86784.623483,39183.000000
36,7.918000,512.000000,49671.348442,8261.000000
36,16.772000,64.000000,29616.570328,2869.000000
36,30.000000,6.000000,28611.225979,1628.000000
36,30.000000,9.000000,32127.457431,2500.000000
36,30.000000,12.000000,37068.419929,2241.000000
36,30.000000,15.000000,36086.457377,3006.000000
36,30.000000,18.000000,36162.027916,2085.000000
