Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
20,4.073000,262144.000000,1058043.562814,331730.000000
20,4.639000,32768.000000,1381929.739854,268788.000000
20,5.649000,4096.000000,2770761.758349,274556.000000
20,7.918000,512.000000,5595424.186678,293877.000000
20,16.772000,64.000000,12123560.545052,269485.000000
20,30.000000,6.000000,13675169.928425,270539.000000
20,30.000000,9.000000,12331403.758495,248643.000000
20,30.000000,12.000000,11671741.578062,262609.000000
20,30.000000,15.000000,11543495.487183,259236.000000
20,30.000000,18.000000,11283629.158774,286374.000000
