Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
24,4.073000,262144.000000,124001.001492,54191.000000
24,4.639000,32768.000000,864605.106996,239131.000000
24,5.649000,4096.000000,1534378.468668,262568.000000
24,7.918000,512.000000,3611602.389174,277145.000000
24,16.772000,64.000000,8409090.996930,217922.000000
24,30.000000,6.000000,9317346.456917,209089.000000
24,30.000000,9.000000,9035719.707357,205610.000000
24,30.000000,12.000000,8295654.604549,215091.000000
24,30.000000,15.000000,7784186.531313,209445.000000
24,30.000000,18.000000,7610477.956992,225214.000000
