Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
40,4.073000,262144.000000,344299.323974,276267.000000
40,4.639000,32768.000000,69039.204464,56666.000000
40,5.649000,4096.000000,44370.157741,19249.000000
40,7.918000,512.000000,32097.863885,5461.000000
40,16.772000,64.000000,16626.213880,914.000000
40,30.000000,6.000000,18477.562691,1087.000000
40,30.000000,9.000000,19539.563352,1122.000000
40,30.000000,12.000000,19125.202038,1244.000000
40,30.000000,15.000000,19591.345768,1238.000000
40,30.000000,18.000000,22076.667774,1425.000000
