Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
20,4.073000,262144.000000,777242.737326,191502.000000
20,4.639000,32768.000000,1500750.086819,261448.000000
20,5.649000,4096.000000,2823065.312121,291008.000000
20,7.918000,512.000000,5646857.482518,298556.000000
20,16.772000,64.000000,11920269.311155,265084.000000
20,30.000000,6.000000,13295740.066955,255630.000000
20,30.000000,9.000000,12669911.288972,253074.000000
20,30.000000,12.000000,12320258.075746,269523.000000
20,30.000000,15.000000,12102358.149899,265051.000000
20,30.000000,18.000000,11317994.338687,277977.000000
