Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
30,4.073000,262144.000000,555568.119334,270667.000000
30,4.639000,32768.000000,399134.532073,245208.000000
30,5.649000,4096.000000,662045.520725,183817.000000
30,7.918000,512.000000,166160.172111,24710.000000
30,16.772000,64.000000,791865.291776,35539.000000
30,30.000000,6.000000,954559.221808,27202.000000
30,30.000000,9.000000,1708902.500328,50511.000000
30,30.000000,12.000000,815021.081132,26203.000000
30,30.000000,15.000000,354581.674424,17802.000000
30,30.000000,18.000000,883121.960069,41001.000000
