Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
28,4.073000,262144.000000,270939.990592,192310.000000
28,4.639000,32768.000000,525377.600301,263314.000000
28,5.649000,4096.000000,626194.318836,187328.000000
28,7.918000,512.000000,1476511.659734,170092.000000
28,16.772000,64.000000,2846206.695390,93288.000000
28,30.000000,6.000000,3842891.552711,105536.000000
28,30.000000,9.000000,3583248.190617,100811.000000
28,30.000000,12.000000,3795224.317146,122988.000000
28,30.000000,15.000000,3706090.638846,121581.000000
28,30.000000,18.000000,3530336.339207,141888.000000
