Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
30,4.073000,262144.000000,726292.381952,338881.000000
30,4.639000,32768.000000,347755.543240,261443.000000
30,5.649000,4096.000000,366238.949952,99813.000000
30,7.918000,512.000000,354617.189351,58025.000000
30,16.772000,64.000000,849918.332118,29063.000000
30,30.000000,6.000000,593567.980702,23910.000000
30,30.000000,9.000000,1545125.511335,65395.000000
30,30.000000,12.000000,964978.442973,43805.000000
30,30.000000,15.000000,922903.365139,36029.000000
30,30.000000,18.000000,849854.651821,38779.000000
