Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
28,4.073000,262144.000000,111080.114156,76454.000000
28,4.639000,32768.000000,140959.786634,85980.000000
28,5.649000,4096.000000,1074102.073674,265232.000000
28,7.918000,512.000000,1706868.754916,196027.000000
28,16.772000,64.000000,3835923.416905,128798.000000
28,30.000000,6.000000,3768641.870235,102711.000000
28,30.000000,9.000000,3765745.892147,105832.000000
28,30.000000,12.000000,3936748.078337,127665.000000
28,30.000000,15.000000,3679615.734863,140841.000000
28,30.000000,18.000000,3251669.636157,122075.000000
