Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
38,4.073000,262144.000000,64246.981929,39700.000000
38,4.639000,32768.000000,100874.702121,56624.000000
38,5.649000,4096.000000,86916.190787,39744.000000
38,7.918000,512.000000,31064.266320,3983.000000
38,16.772000,64.000000,23066.322789,2016.000000
38,30.000000,6.000000,21911.187782,1222.000000
38,30.000000,9.000000,21735.029262,1510.000000
38,30.000000,12.000000,23744.102489,1720.000000
38,30.000000,15.000000,26062.874669,1955.000000
38,30.000000,18.000000,24424.841678,1464.000000
