Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
38,4.073000,262144.000000,105504.637116,79462.000000
38,4.639000,32768.000000,76504.716802,53849.000000
38,5.649000,4096.000000,95716.103431,36749.000000
38,7.918000,512.000000,35313.839950,5764.000000
38,16.772000,64.000000,28334.811293,1881.000000
38,30.000000,6.000000,24174.066518,1361.000000
38,30.000000,9.000000,24681.305861,1879.000000
38,30.000000,12.000000,26729.674203,2004.000000
38,30.000000,15.000000,25034.664627,1755.000000
38,30.000000,18.000000,27654.482566,2269.000000
