Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
38,4.073000,262144.000000,41033.468267,19503.000000
38,4.639000,32768.000000,78845.454194,41287.000000
38,5.649000,4096.000000,39950.576103,11638.000000
38,7.918000,512.000000,32766.710607,4740.000000
38,16.772000,64.000000,23704.989897,1439.000000
38,30.000000,6.000000,28111.656123,1624.000000
38,30.000000,9.000000,23555.780692,1607.000000
38,30.000000,12.000000,22129.765724,1313.000000
38,30.000000,15.000000,24683.292507,1725.000000
38,30.000000,18.000000,22728.472826,1517.000000
