Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
24,4.073000,262144.000000,756460.554900,282523.000000
24,4.639000,32768.000000,468294.170229,248911.000000
24,5.649000,4096.000000,1351847.467437,255515.000000
24,7.918000,512.000000,3658327.828068,264795.000000
24,16.772000,64.000000,8527912.969722,227143.000000
24,30.000000,6.000000,8380050.414738,197369.000000
24,30.000000,9.000000,8810744.260677,235067.000000
24,30.000000,12.000000,7837757.724042,209915.000000
24,30.000000,15.000000,7939234.101104,232566.000000
24,30.000000,18.000000,7676163.439905,220845.000000
