Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
20,4.073000,262144.000000,670182.517673,228493.000000
20,4.639000,32768.000000,1314134.258792,230148.000000
20,5.649000,4096.000000,2902850.295095,269506.000000
20,7.918000,512.000000,5591829.617182,294154.000000
20,16.772000,64.000000,11987620.706461,266179.000000
20,30.000000,6.000000,13418873.142726,265140.000000
20,30.000000,9.000000,12411753.965968,252326.000000
20,30.000000,12.000000,11819963.398350,262580.000000
20,30.000000,15.000000,11751948.733734,260706.000000
20,30.000000,18.000000,11515573.314407,277000.000000
