Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
38,4.073000,262144.000000,56463.808152,31435.000000
38,4.639000,32768.000000,65920.350568,31091.000000
38,5.649000,4096.000000,44433.298988,11335.000000
38,7.918000,512.000000,26091.307997,4011.000000
38,16.772000,64.000000,24985.980189,1585.000000
38,30.000000,6.000000,24599.821483,1235.000000
38,30.000000,9.000000,24044.778768,1309.000000
38,30.000000,12.000000,24188.952561,1810.000000
38,30.000000,15.000000,24295.875823,1836.000000
38,30.000000,18.000000,26910.481620,1583.000000
