Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
20,4.073000,262144.000000,866212.691370,224869.000000
20,4.639000,32768.000000,1758850.894752,268608.000000
20,5.649000,4096.000000,2417717.448022,263254.000000
20,7.918000,512.000000,5599217.890341,294779.000000
20,16.772000,64.000000,12056914.627128,267837.000000
20,30.000000,6.000000,13308127.290017,259941.000000
20,30.000000,9.000000,13186707.733321,275341.000000
20,30.000000,12.000000,12013897.414020,265340.000000
20,30.000000,15.000000,11444236.141244,264755.000000
20,30.000000,18.000000,11253746.810291,272166.000000
