Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
22,4.073000,262144.000000,808803.446700,272662.000000
22,4.639000,32768.000000,1222097.006151,243373.000000
22,5.649000,4096.000000,1954988.848032,283304.000000
22,7.918000,512.000000,5088006.224049,299939.000000
22,16.772000,64.000000,10235272.947870,247293.000000
22,30.000000,6.000000,11082422.144824,236271.000000
22,30.000000,9.000000,10066759.539626,219401.000000
22,30.000000,12.000000,9896196.667561,244809.000000
22,30.000000,15.000000,9856701.693768,255155.000000
22,30.000000,18.000000,9102003.595497,255423.000000
