Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
22,4.073000,262144.000000,943478.833121,369340.000000
22,4.639000,32768.000000,989367.887385,261498.000000
22,5.649000,4096.000000,2187187.851659,275725.000000
22,7.918000,512.000000,4528347.308180,283124.000000
22,16.772000,64.000000,10233792.929807,245585.000000
22,30.000000,6.000000,10534515.585834,229813.000000
22,30.000000,9.000000,10441544.437482,225310.000000
22,30.000000,12.000000,10299291.171203,247433.000000
22,30.000000,15.000000,9689980.318485,256793.000000
22,30.000000,18.000000,9601648.457978,253837.000000
