Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
30,4.073000,262144.000000,181128.510335,147929.000000
30,4.639000,32768.000000,335333.853550,142924.000000
30,5.649000,4096.000000,759327.781993,222881.000000
30,7.918000,512.000000,285947.154464,34112.000000
30,16.772000,64.000000,697804.080952,31389.000000
30,30.000000,6.000000,565034.288131,17579.000000
30,30.000000,9.000000,1109809.536420,41754.000000
30,30.000000,12.000000,1698730.987338,65610.000000
30,30.000000,15.000000,617256.609351,27449.000000
30,30.000000,18.000000,2190429.151378,96776.000000
