Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
36,4.073000,262144.000000,91342.767497,51455.000000
36,4.639000,32768.000000,107267.886238,47436.000000
36,5.649000,4096.000000,112024.226366,31892.000000
36,7.918000,512.000000,49250.842165,9850.000000
36,16.772000,64.000000,36072.677444,3155.000000
36,30.000000,6.000000,27873.684543,1471.000000
36,30.000000,9.000000,29461.190285,1889.000000
36,30.000000,12.000000,37121.643700,2290.000000
36,30.000000,15.000000,31873.517879,1762.000000
36,30.000000,18.000000,36686.434332,2519.000000
