Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
28,4.073000,262144.000000,173233.127507,128523.000000
28,4.639000,32768.000000,221642.480709,77402.000000
28,5.649000,4096.000000,472024.070466,177051.000000
28,7.918000,512.000000,1720437.403404,169261.000000
28,16.772000,64.000000,3660115.080789,121491.000000
28,30.000000,6.000000,2906492.944190,83226.000000
28,30.000000,9.000000,3525835.389181,99050.000000
28,30.000000,12.000000,2884581.757304,98170.000000
28,30.000000,15.000000,2950113.137457,102139.000000
28,30.000000,18.000000,3793044.456220,152204.000000
