Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
24,4.073000,262144.000000,587318.466846,253849.000000
24,4.639000,32768.000000,991094.195425,338357.000000
24,5.649000,4096.000000,1719101.737353,295978.000000
24,7.918000,512.000000,3548258.840118,273918.000000
24,16.772000,64.000000,7871392.978220,213947.000000
24,30.000000,6.000000,8848566.941770,196235.000000
24,30.000000,9.000000,8362341.247638,207507.000000
24,30.000000,12.000000,7911698.232907,211206.000000
24,30.000000,15.000000,8061025.412599,214296.000000
24,30.000000,18.000000,7484602.911424,225382.000000
