Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
20,4.073000,262144.000000,1072235.930691,272569.000000
20,4.639000,32768.000000,1554862.596000,240715.000000
20,5.649000,4096.000000,2580822.474766,268261.000000
20,7.918000,512.000000,5698025.569390,297147.000000
20,16.772000,64.000000,12009757.660338,264657.000000
20,30.000000,6.000000,13162149.726535,258319.000000
20,30.000000,9.000000,12449736.468861,270573.000000
20,30.000000,12.000000,12437901.170130,271006.000000
20,30.000000,15.000000,11027637.560821,272123.000000
20,30.000000,18.000000,11197752.813924,273817.000000
