Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
36,4.073000,262144.000000,96337.753742,43197.000000
36,4.639000,32768.000000,170142.799895,116145.000000
36,5.649000,4096.000000,111357.423924,44769.000000
36,7.918000,512.000000,35649.875722,7301.000000
36,16.772000,64.000000,29852.259512,1998.000000
36,30.000000,6.000000,30975.815001,1658.000000
36,30.000000,9.000000,33264.282767,1990.000000
36,30.000000,12.000000,30998.298050,2661.000000
36,30.000000,15.000000,41102.872223,3436.000000
36,30.000000,18.000000,45307.330213,3328.000000
