Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
36,4.073000,262144.000000,35787.817061,13056.000000
36,4.639000,32768.000000,88055.631876,47631.000000
36,5.649000,4096.000000,66854.915115,20770.000000
36,7.918000,512.000000,58950.895947,11678.000000
36,16.772000,64.000000,32360.872362,2176.000000
36,30.000000,6.000000,30408.459136,1484.000000
36,30.000000,9.000000,30615.774104,1855.000000
36,30.000000,12.000000,36919.656824,2395.000000
36,30.000000,15.000000,35866.368481,3273.000000
36,30.000000,18.000000,39232.659545,2791.000000
