frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
2,1280927.168842,1023186.000000
4,915752.053752,845105.000000
8,164194291.602068,3296317.000000
16,170407709.967058,3603671.000000
32,89687833.099491,2192093.000000
64,89581991.809807,2207878.000000
128,95086459.880823,2214135.000000
256,2650583.733161,1163367.000000
512,156458147.599744,3323202.000000
1024,93662251.598153,2165206.000000
2048,86123420.322876,2321362.000000
4096,4063702.329351,1071993.000000
8192,77169092.175019,2232232.000000
16384,150346741.783742,2325557.000000
32768,120936056.864053,3094830.000000
65536,116541276.684459,2266916.000000
