frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
2,88829703.560026,2370966.000000
4,89158814.760667,2171833.000000
8,89807274.415641,2266816.000000
16,975767.174774,687452.000000
32,164829456.636464,3538864.000000
64,168971677.033982,3271930.000000
128,93652561.760383,2302227.000000
256,176023688.320725,3299503.000000
512,1804523.419898,1026135.000000
1024,90854336.209256,2154596.000000
2048,3741827.031879,1114618.000000
4096,4080742.891776,937576.000000
8192,189222870.164065,3566320.000000
16384,87591226.509986,2285150.000000
32768,189309548.632856,3354011.000000
65536,135419857.011331,3390022.000000
