frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
2,88699897.957037,2310166.000000
4,1216749.642756,901949.000000
8,168301434.680791,3244184.000000
16,167093410.873724,3336445.000000
32,1178708.582683,841482.000000
64,2092817.321584,966233.000000
128,2248554.298351,778501.000000
256,1003385.430575,542380.000000
512,158502453.437201,3410775.000000
1024,105927115.184321,2307708.000000
2048,2397204.898511,930996.000000
4096,84984400.288176,2257364.000000
8192,132918432.274814,3473897.000000
16384,126787442.544730,3651328.000000
32768,5045634.798014,730101.000000
65536,75331463.147725,2243903.000000
