frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
2,422015.079261,254375.000000
4,165068173.814728,3465672.000000
8,1387829.610858,1096838.000000
16,1787419.587904,747724.000000
32,93816833.427533,2251746.000000
64,92395798.815043,2166141.000000
128,1028679.989015,637031.000000
256,2735846.657660,1089870.000000
512,88568084.814422,2279882.000000
1024,1589990.316334,722295.000000
2048,86605410.236261,2329031.000000
4096,4244822.484411,1149869.000000
8192,212717508.721004,3494952.000000
16384,86024232.822071,2217976.000000
32768,56386151.218098,2373284.000000
65536,76619031.432421,2155831.000000
