frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
2,167842394.042996,3387453.000000
4,1602800.669336,897968.000000
8,89840906.803315,2138729.000000
16,165101398.269172,3348098.000000
32,168545484.250721,3389735.000000
64,92266823.679095,2230587.000000
128,1573532.218134,876846.000000
256,1906020.861630,703805.000000
512,83690096.254700,2229535.000000
1024,1299027.003973,748720.000000
2048,172151620.540970,3411370.000000
4096,2136110.951540,671623.000000
8192,170664006.307375,3265472.000000
16384,9329704.579728,1159418.000000
32768,57002999.508499,2160119.000000
65536,3682786.220961,1107127.000000
