frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
2,90374109.027792,2239131.000000
4,163840923.168926,3382883.000000
8,1318804.400265,1151111.000000
16,88977398.227039,2210783.000000
32,91890194.340968,2225303.000000
64,2226316.323027,1070828.000000
128,1574524.335841,864162.000000
256,96625557.813176,2248898.000000
512,1344044.983752,1011438.000000
1024,87883252.854996,2247845.000000
2048,100777160.190198,2337016.000000
4096,107948198.639509,2133768.000000
8192,71262067.179962,2178542.000000
16384,203327729.552567,3776424.000000
32768,12720635.106393,736644.000000
65536,230536193.050161,3114959.000000
