frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
2,88363150.964389,2302213.000000
4,1485117.201577,852503.000000
8,89092300.985836,2370231.000000
16,1697943.574978,1096888.000000
32,884264.294925,400821.000000
64,165346341.741215,3267233.000000
128,96765721.226345,2283718.000000
256,92252045.963292,2168721.000000
512,99951150.532422,2201851.000000
1024,87812966.451466,2236378.000000
2048,1318557.415954,567324.000000
4096,4055561.559999,970329.000000
8192,154299819.978544,3524467.000000
16384,91123461.850357,2159438.000000
32768,7425306.696439,1146535.000000
65536,5728097.348705,961148.000000
