frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
2,1809998.018014,1127283.000000
4,90819184.788267,2308580.000000
8,166230910.067035,3974305.000000
16,166211553.140099,3661227.000000
32,165422866.024712,3411298.000000
64,91126301.188400,2290415.000000
128,171799055.836136,3323375.000000
256,88995118.308181,2290220.000000
512,1978796.946005,951148.000000
1024,94312459.256336,2268787.000000
2048,145605796.827974,3531970.000000
4096,2250611.822506,1116605.000000
8192,215971655.603013,2997538.000000
16384,92496999.857743,2224798.000000
32768,111692101.019104,2206783.000000
65536,154016549.729155,3660063.000000
