frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
2,168575602.556753,3320433.000000
4,167050777.896342,3469034.000000
8,90069333.777728,2336023.000000
16,91123108.440287,2354858.000000
32,171040881.032193,3533083.000000
64,2019212.935293,1162977.000000
128,176036941.208018,3333526.000000
256,94969487.411372,2273198.000000
512,171798419.248160,3420982.000000
1024,1429398.077157,888095.000000
2048,152610576.281136,3396543.000000
4096,1773309.166995,675350.000000
8192,148777805.080779,3207684.000000
16384,116695350.123783,3324805.000000
32768,114145748.065860,3416236.000000
65536,164698282.459637,2301110.000000
