frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,787393.172888,33585.000000,0.000000
4,1672805.435683,71372.000000,0.000000
8,1959294.252023,67153.000000,0.000000
16,2363468.331719,100784.000000,0.000000
32,2285436.098070,85178.000000,0.000000
64,2569117.731817,104194.000000,0.000000
128,1324944.231855,46923.000000,0.000000
256,2648667.476913,110116.000000,0.000000
512,2378880.431354,82050.000000,0.000000
1024,2582723.076542,85285.000000,0.000000
2048,2443227.167237,91204.000000,0.000000
4096,4160908.798524,133027.000000,0.000000
8192,3799075.226810,123847.000000,0.000000
16384,3421956.804058,137021.000000,0.000000
32768,1615379.551114,72220.000000,0.000000
65536,4463070.309006,166658.000000,0.000000
