frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,848849.936171,33445.000000,0.000000
4,1153860.103198,31798.000000,0.000000
8,2275955.281342,60713.000000,0.000000
16,709493.877119,27372.000000,0.000000
32,1269910.064735,45202.000000,0.000000
64,1629442.295879,55965.000000,0.000000
128,2025110.823266,58317.000000,0.000000
256,2287682.048886,74638.000000,0.000000
512,2837494.276923,97692.000000,0.000000
1024,2282289.326707,68913.000000,0.000000
2048,4222373.163334,137451.000000,0.000000
4096,2892320.168472,91647.000000,0.000000
8192,1791465.922972,61502.000000,0.000000
16384,3272972.952581,96078.000000,0.000000
32768,7034298.745909,167644.000000,0.000000
65536,3756965.310671,90456.000000,0.000000
