frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,1043597.355396,39748.000000,0.000000
4,551752.623122,20398.000000,0.000000
8,1929499.994321,71672.000000,0.000000
16,1958256.632378,70712.000000,0.000000
32,2091495.010882,74647.000000,0.000000
64,2866491.988225,97430.000000,0.000000
128,2559754.242230,90525.000000,0.000000
256,1735721.901514,69017.000000,0.000000
512,2995001.399731,98160.000000,0.000000
1024,3381515.311500,114783.000000,0.000000
2048,2833010.988760,85969.000000,0.000000
4096,3089499.201681,92796.000000,0.000000
8192,2538985.834411,95615.000000,0.000000
16384,1901724.535147,61905.000000,0.000000
32768,4979414.765244,162302.000000,0.000000
65536,824845.180235,43533.000000,0.000000
