frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,954969.616336,42923.000000,0.000000
4,1488975.731362,58171.000000,0.000000
8,1838398.040162,72010.000000,0.000000
16,1621096.117570,67391.000000,0.000000
32,987598.568889,47557.000000,0.000000
64,2361382.450698,86865.000000,0.000000
128,1811721.920751,75700.000000,0.000000
256,2259454.158561,94440.000000,0.000000
512,2573694.687208,105321.000000,0.000000
1024,1852441.512015,78723.000000,0.000000
2048,3177825.510261,116220.000000,0.000000
4096,2974345.340567,119348.000000,0.000000
8192,3262183.505349,113936.000000,0.000000
16384,4703881.941881,161463.000000,0.000000
32768,8397795.434669,256315.000000,0.000000
65536,3116889.352039,110713.000000,0.000000
