coherence_time,mode1_L2_norm_flow_time,mode2_L2_norm_flow_time,mode3_L2_norm_flow_time,mode4_L2_norm_flow_time,mode5_L2_norm_flow_time,mode6_L2_norm_flow_time
2,76685694.2094014,74777576.2711012,74010656.59085679,74002599.9901271,74067006.9734553,73976834.9706632
4,75828991.6154193,74520142.8072878,74327094.85886261,74163170.6789964,74186098.2499344,74140485.19748309
8,78524025.9833928,75577976.0251609,75171246.67542401,75171246.67542401,75171246.67542401,75171246.67542401
16,76538258.2721553,75476820.755425,75348295.4279737,75348295.4279737,75374294.4047884,75308411.5078723
32,77771804.9890929,76708928.6170494,76070051.2657141,76070051.2657141,76079071.86609189,76070051.2657141
64,78188092.342031,76853465.3113014,76573594.84610769,76626096.6127336,76671876.5136188,76538387.1771623
128,78006029.8316928,76851306.67892721,76666271.7540446,76673308.1044013,76694085.5074351,76656793.0403549
256,80815412.6463264,79515701.1949585,76840174.8244539,76810430.2616148,76890301.8688037,76797188.4538633
512,80964430.664461,78368189.2820498,77011507.2121969,76744316.6859284,76721426.351419,76607450.9190362
1024,84855426.0068743,81876019.89989111,77172094.0639385,76780282.42344269,76818383.909978,76506549.45683411
2048,92835660.7327964,87807835.0101663,80777832.2272815,79232371.2781533,76949653.82953879,76463433.7927626
4096,88264404.519501,91183894.0424152,83021843.91653469,78972525.08907011,76883849.1812488,74620450.5191763
8192,89922085.88935551,89205223.7402732,85379283.9475552,79666938.1422667,76370819.788612,73871410.6922076
16384,90468005.9566658,90252707.6957964,89605249.0511731,87043165.0952166,83413443.0491377,77210415.1709913
32768,106865932.2331401,106467469.96121821,107060795.9396081,104789664.67763111,90230144.8192463,80743224.6750395
65536,98706919.9331887,100001054.9029617,99825513.79505551,99417133.99814281,97025637.83945009,87478813.0956412
