mean_inter_arrival_time,mode1_L2_norm_flow_time,mode2_L2_norm_flow_time,mode3_L2_norm_flow_time,mode4_L2_norm_flow_time,mode5_L2_norm_flow_time,mode6_L2_norm_flow_time
20.0,4229398.96053812,4285468.636301319,4306191.00396046,4306638.01137964,4305022.101056,4282321.82815172
22.0,3442965.6390468394,3474615.6886997996,3477429.8609793,3477503.947811379,3477444.5173511794,3463469.1135009006
24.0,2666028.94181712,2664643.16406954,2664948.46187094,2664946.1288136602,2664930.8850738197,2655470.57391104
26.0,1855526.66956032,1862223.66552382,1862360.5247495198,1862104.78480912,1863150.8199508202,1853104.90611692
28.0,1128709.3770743,1132185.92418072,1131677.4157132197,1131466.3006314798,1132161.9838399398,1125881.68694556
30.0,379376.59917408007,369971.9716002,369966.6813072,369866.10302278,369966.96940284,368337.86311944004
32.0,86314.64419023998,80567.97121075999,81693.17827153999,81709.15091308,81587.04344319999,81625.77631963999
34.0,59676.215463500004,59591.84081776,59581.592117320004,59585.20922694,59591.52509656,59580.00888386
36.0,154230.43015196,53409.24695534001,53395.03388234001,154126.6873582,154133.45507698,53394.1442235
38.0,39191.93629836,39117.111132599995,39107.005148300006,39106.44956286,39120.22486938,39102.9689975
40.0,45344.77628744,44876.68367792,44862.72764658,44845.74158986,44848.32951372,44842.18605532
