coherence_time,mode1_L2_norm_flow_time,mode2_L2_norm_flow_time,mode3_L2_norm_flow_time,mode4_L2_norm_flow_time,mode5_L2_norm_flow_time,mode6_L2_norm_flow_time
2,73629925.1231569,70603546.5094583,68551470.166951,67512168.60799369,67479732.3936528,66963218.585466005
4,87176461.824047,83808484.2782262,83217124.8828015,82644286.88986,82674432.0512018,82488820.84443751
8,102324222.4906008,95638058.1150507,92919592.7398456,92294717.42705509,92152047.1822398,91577621.0720598
16,102741412.5147382,101074806.6559135,100156035.662192,99729248.9636979,99452476.1919963,99420653.3983987
32,95206188.401422,94259619.40615049,93297687.3132833,92616677.4774255,92538641.5466045,92117928.9128229
64,81299605.62809691,80127847.2667265,78835574.7591766,77639962.9698211,76795821.6383118,76238889.7722694
128,86484744.5808789,83438082.4210949,82397965.3378101,80608975.7163414,79891534.3719354,78535001.5009311
256,67051383.5201274,60635521.0061983,56874448.8169109,55752605.8618049,54552705.581084,53677505.9172441
512,81957667.3228467,80677410.1357936,81467499.278055,78328816.9294549,76676883.7544769,74314229.8454282
1024,61513810.962491706,60724490.1017886,59634008.2158735,58065034.2445968,56025764.3895841,53633091.7086267
2048,101396552.006257,99287516.0360423,91262825.9567808,90327164.64490171,88436058.0035379,81559236.201498
4096,34649056.4512137,34557794.7621761,34685047.4615801,34748231.577314995,34573760.7211159,30001700.609177697
8192,170193245.0453927,169967736.5597226,168740538.6962727,160886331.4711308,159669043.0050807,156313648.5125361
16384,109481189.43476209,109349052.50582239,111989755.0616945,111739686.8639292,109562841.90397379,93404945.2214243
32768,77625748.3606058,77276257.5570661,76683275.7672753,76329621.3842543,75377531.6082497,65164118.3111365
65536,126828266.38559361,126848834.15631302,127009354.1220382,127051741.83143508,126687267.2359956,112841562.68178292
