mean_inter_arrival_time,mode1_L2_norm_flow_time,mode2_L2_norm_flow_time,mode3_L2_norm_flow_time,mode4_L2_norm_flow_time,mode5_L2_norm_flow_time,mode6_L2_norm_flow_time
20.0,208728013.39183992,208735880.48370627,208799200.82060105,208756419.5828284,208758421.8629515,208761035.73926175
22.0,203077249.22507688,203029877.4150725,203069086.02451652,203144354.87807554,203214268.1080914,203309712.25893268
24.0,197344118.70975727,197425173.9209312,197383144.5122384,197567680.40996873,197759283.99337527,197764835.20359355
26.0,191703871.5975583,191802067.76983732,192014128.71996737,192200686.76700264,192215185.38338825,192202400.52417812
28.0,185993601.2666401,186287934.3187227,186466435.12810287,186544690.29920968,186551326.11222824,186548652.49535283
30.0,179849204.8404635,179971111.56029183,180047363.6258734,180120793.1149984,180259579.4491519,180536337.5471324
32.0,173873924.59248275,173999085.0889138,173953500.6080745,174085462.36599168,174324692.9084753,175017519.77759856
34.0,168001127.8973008,168165947.79671922,168557709.12551367,169011937.79746953,169242989.23989993,169095758.97811013
36.0,161686583.4110691,161959243.12479413,162611951.27173108,162933302.28163737,163144893.741883,163231293.37562403
38.0,155600384.4412889,155851944.19693738,155980630.91410464,155955396.85696855,155955964.78503525,157272934.27360427
40.0,149421190.06545797,149581321.9429725,149834372.72568986,149920223.1282341,150448969.77609512,151387058.40184772
