mean_inter_arrival_time,mode1_L2_norm_flow_time,mode2_L2_norm_flow_time,mode3_L2_norm_flow_time,mode4_L2_norm_flow_time,mode5_L2_norm_flow_time,mode6_L2_norm_flow_time
20.0,126055501.68524048,126119158.64633341,126268583.54020138,126306462.75768957,126400356.85039723,126411718.2224758
22.0,119466457.96865816,119350354.94579014,119567814.79829228,119669040.47296123,119965646.75516072,119864307.09050715
24.0,112930229.09762356,113073438.8018548,113456149.25141136,113640116.66068399,113747094.49694912,113798080.85082886
26.0,106221816.27923232,106374285.23880884,106439085.76926085,106467996.9348383,106556045.76704995,107286167.97629507
28.0,99844202.1757989,99977446.61082152,100164082.8569473,100598714.91655692,100836191.26492843,100644245.72535105
30.0,93949253.38443865,93825438.39464684,94196039.88955757,94348943.73131901,94349537.96336961,94298967.12691247
32.0,87448912.9694968,87638498.61846973,87931115.35230097,87933360.20968315,87934222.07587132,87906333.50001825
34.0,81349562.30717686,81606725.2043859,81615055.19913104,81616494.34902295,81622234.56110749,81604968.26603803
36.0,75247382.1937755,75337895.72885221,75356713.32314852,75357610.93943103,75358706.64244728,75348333.10804251
38.0,69130488.29493138,69133904.88869974,69128254.36659381,69128254.22871025,69128251.87325129,69121154.45369188
40.0,62674566.29426031,62642335.20465179,62636370.67337016,62635302.834097706,62635302.834097706,62629602.049385905
