frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,155765.659155,44574.000000
128,216154.440741,54689.000000
16384,148499.158109,54756.000000
2048,190171.530180,44363.000000
16,178460.612128,39219.000000
256,211745.833151,50169.000000
2,174868.926448,44952.000000
32768,114631.867711,46380.000000
32,176248.910802,42498.000000
4096,291501.231442,42245.000000
8,221543.370858,47451.000000
4,183952.941670,42193.000000
65536,216405.308680,57882.000000
8192,92654.466444,32794.000000
512,178187.059511,44298.000000
64,152275.039557,70154.000000
