frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,254189.120292,57605.000000
128,150814.922677,39151.000000
16384,126795.282822,36484.000000
2048,296716.088059,58112.000000
2,141645.080691,42162.000000
16,173011.473700,51974.000000
256,177051.583822,38790.000000
32768,70959.223276,30484.000000
4096,378126.132749,48262.000000
32,174926.688821,55501.000000
8,211272.829290,50594.000000
4,206154.021814,51054.000000
65536,42435.946354,29548.000000
512,185842.574140,56385.000000
8192,186676.613648,44142.000000
64,194924.358934,46519.000000
