frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,165792.609190,37310.000000
16,199467.530989,43112.000000
2048,278320.764019,69600.000000
16384,280065.067924,58323.000000
128,241530.408802,50336.000000
256,205710.939131,44940.000000
4,179147.019691,42269.000000
32768,54577.658918,26271.000000
2,187512.579101,54907.000000
32,158139.498861,38619.000000
4096,183367.403567,43618.000000
65536,172489.014355,67183.000000
8,177800.765232,50089.000000
64,194991.943818,42758.000000
512,180043.645481,44590.000000
8192,220604.115603,37727.000000
