frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,174392.037023,61231.000000
16,172053.862598,46786.000000
2048,89197.168329,47104.000000
16384,312933.910975,65801.000000
32768,7647.637936,3047.000000
4,208682.949982,44995.000000
128,148173.859439,37810.000000
4096,148356.769721,40297.000000
32,191080.309127,45181.000000
2,162648.379263,37168.000000
256,134323.159396,40452.000000
65536,8125.038769,3367.000000
8192,167608.945650,50750.000000
64,153237.311455,40201.000000
8,177875.071550,51960.000000
512,186799.904475,41209.000000
