frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,221348.477298,55747.000000
128,202544.815276,44046.000000
16,176655.470029,41354.000000
16384,55056.826770,17836.000000
256,159770.860093,42467.000000
2,180285.261225,53051.000000
32768,12338.083117,5382.000000
32,197874.550397,41533.000000
4096,362272.666155,59707.000000
2048,189136.536782,36484.000000
4,163279.060574,46757.000000
65536,241314.071616,59146.000000
64,185415.436526,48572.000000
8,159500.502068,39523.000000
8192,189884.441519,64735.000000
512,119972.305896,43116.000000
