frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,189141.064188,75765.000000
16384,356953.821499,61343.000000
2048,136601.746921,45916.000000
32,207490.419702,64930.000000
16,166497.775129,43709.000000
256,162379.991468,42746.000000
128,224505.940238,47469.000000
32768,78094.201084,35655.000000
2,159293.200925,40470.000000
4096,173438.198200,44204.000000
8192,204029.941533,36817.000000
512,179303.188580,37604.000000
64,203385.504184,97899.000000
65536,34009.328323,21464.000000
8,184067.405357,47104.000000
4,181936.633180,48215.000000
