frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,84633.947692,37836.000000
128,202075.834065,74909.000000
2048,147168.755431,57158.000000
16,152982.139719,41176.000000
256,188534.617906,40855.000000
2,193206.227534,47624.000000
16384,32545.274957,24383.000000
32768,310036.607634,72772.000000
4096,105880.043625,29001.000000
32,170758.538852,48030.000000
8192,281535.056794,61935.000000
65536,10370.789893,6856.000000
64,187100.596945,45007.000000
4,182779.895653,50820.000000
512,165046.634064,47592.000000
8,167687.104421,43191.000000
