frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,261997.568565,53079.000000
16384,460792.071638,59244.000000
16,190606.906449,41980.000000
256,155302.516393,48632.000000
2048,211988.875284,42384.000000
128,172694.852986,44652.000000
32,177685.289110,41792.000000
2,177876.806903,54782.000000
32768,22932.234126,11464.000000
4096,162230.275066,39477.000000
4,194614.838651,51653.000000
8,181543.891792,44231.000000
64,154390.019807,44528.000000
65536,39867.969449,29258.000000
8192,354763.714138,37593.000000
512,177612.983641,41861.000000
