frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,252950.750064,50068.000000
16384,32858.470095,19305.000000
16,237181.383747,54486.000000
128,137845.488958,43752.000000
2048,85690.745691,34322.000000
2,158917.895245,54666.000000
32,223655.810119,51286.000000
32768,407362.526697,52923.000000
4096,209816.216378,54184.000000
256,275382.580880,205664.000000
4,151456.762368,48014.000000
65536,237644.851966,118028.000000
512,239459.726474,56943.000000
64,189863.062327,55074.000000
8192,109731.337005,38203.000000
8,197404.035111,59325.000000
