frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time
2,7783776.009253029,7495549.104763506,7495549.104763506,7495549.104763506,7495549.104763506,7495549.104763506
4,13106094.715310927,13106094.715310927,13106094.715310927,13106094.715310927,13106094.715310927,13106094.715310927
8,7209903.5554182,6868068.773759767,6841525.286082337,6841525.286082337,6872093.920238139,6841525.286082337
16,6225909.327840231,6221472.810643715,6206878.964239596,6206878.964239596,6206878.964239596,6206878.964239596
32,13707763.445707072,13707763.445707072,13707763.445707072,13707763.445707072,13707763.445707072,13707763.445707072
64,686811.7072458797,607945.3100279663,401103.7288333281,379454.64993329573,379454.64993329573,379454.64993329573
128,310083.32185720664,297397.9871821597,289260.06187166594,275467.85539151385,276193.24796417454,274995.6315180298
256,7521072.419039987,7343893.574342632,7148311.835957214,5418432.774503436,5418432.774503436,5418432.774503436
512,5824750.569308097,5849981.9155970905,5846289.631933488,5814311.378643648,5577644.744909539,5577644.744909539
1024,55570.94925408419,55442.57236095743,55442.57236095743,55442.57236095743,55570.94925408419,55442.57236095743
2048,305761.3833089457,305727.8037470586,305820.06854358007,305844.5160845622,304329.3614425003,301122.9355329813
4096,3294136.150410605,3294136.150410605,3294136.150410605,3294136.150410605,3294136.150410605,3294136.150410605
8192,7689611.061516115,7567932.617593592,7567932.617593592,7567932.617593592,7567932.617593592,7567932.617593592
16384,297260.6964635587,297260.6964635587,297260.6964635587,297260.6964635587,297260.6964635587,297260.6964635587
32768,2909033.673620675,2911759.5545216296,2911759.5545216296,2911759.5545216296,2911759.5545216296,2911759.5545216296
65536,9009779.619618008,9009779.619618008,9009779.619618008,9009779.619618008,9009779.619618008,9009779.619618008
