frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time
2,127399.23946790263,126580.32769352432,134995.71829135914,134995.71829135914,135036.6387281615,134995.71829135914
4,13548383.824040674,13548383.824040674,13548383.824040674,13548383.824040674,13548383.824040674,13548383.824040674
8,7419505.992942791,7206807.012185147,7213715.399691826,7213715.399691826,7213715.399691826,7206807.012185147
16,7298685.821198156,6901453.88119286,6894173.408156267,6787053.036455734,7070103.769811233,6787053.036455734
32,9095354.22434976,8734860.69816039,7619483.5121052,8804995.130012112,8804995.130012112,7619483.5121052
64,463355.90220909024,433988.44261915545,416488.46164089587,364859.8918722089,455557.60819571436,312288.12000618916
128,8372890.500366227,8419839.259299431,8483662.649340672,8487957.95649631,8480925.139005002,8310226.223521655
256,884054.5724919927,873784.2293913298,830819.7822741102,783220.5515064067,674487.0476362018,581083.9927179202
512,12694253.378473898,12517456.9539299,12517456.9539299,12517456.9539299,12694253.378473898,12517456.9539299
1024,526113.155128248,525462.6006272949,522489.615093927,539015.7397525605,565293.9083857175,569953.1173868602
2048,22316305.63482233,22316305.63482233,22316305.63482233,22316305.63482233,22316305.63482233,22316305.63482233
4096,174723.6704227564,174723.6704227564,174723.6704227564,174723.6704227564,174723.6704227564,174723.6704227564
8192,6956956.306601041,6956956.306601041,6956956.306601041,6956956.306601041,6956956.306601041,6956956.306601041
16384,526550.0580495647,526550.0580495647,526550.0580495647,526550.0580495647,526550.0580495647,526550.0580495647
32768,7399017.247596467,7399017.247596467,7399017.247596467,7399017.247596467,7399017.247596467,7399017.247596467
65536,11646256.470912617,11646256.470912617,11646256.470912617,11646256.470912617,11646256.470912617,11646256.470912617
